event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,15843,0.80,-1.29,9.52,-4.06,1.19,136.69
imu_data,15893,1.11,-1.73,9.53,-2.88,0.38,168.56
imu_data,15943,0.93,0.03,9.48,-1.25,0.75,109.00
imu_data,15989,1.07,-2.70,9.54,1.56,-0.31,-39.94
imu_data,16039,-4.13,-1.97,9.61,7.75,-1.25,-95.50
imu_data,16089,-10.43,-1.86,9.54,-0.12,-1.62,-59.56
imu_data,16139,-2.46,0.00,9.55,-8.69,5.44,57.06
imu_data,16190,2.91,-0.39,9.47,-0.88,0.69,56.44
imu_data,16239,9.99,0.72,9.40,-0.44,0.69,93.06
imu_data,16289,18.41,0.97,9.31,-0.56,1.19,42.06
imu_data,16339,8.53,-0.27,9.32,1.38,-0.44,-44.62
imu_data,16389,2.00,-0.80,9.50,2.44,-1.56,-58.44
imu_data,16439,-8.82,-2.79,9.66,-1.31,-1.06,-112.44
imu_data,16489,-20.75,-6.42,9.82,0.88,-1.19,-34.75
imu_data,16539,-18.22,-1.22,9.74,-1.88,1.81,103.56
imu_data,16589,-3.21,-1.48,9.54,1.75,0.81,96.19
imu_data,16639,3.95,-0.65,9.43,1.31,1.50,99.19
imu_data,16689,13.62,-1.49,9.39,-1.44,0.88,68.06
imu_data,16740,9.30,-0.99,9.33,2.81,0.50,1.00
imu_data,16789,9.79,-1.47,9.45,-0.12,-1.19,-0.25
imu_data,16839,3.73,-0.54,9.50,-0.56,-1.25,-77.38
imu_data,16889,-4.06,-2.10,9.58,0.75,-1.25,-140.19
imu_data,16939,-15.29,-3.23,9.76,2.00,-0.69,-131.00
imu_data,16989,-20.54,-2.83,9.72,2.12,-0.06,-8.12
imu_data,17039,-8.23,-2.63,9.65,0.81,1.00,73.12
imu_data,17089,0.31,-2.63,9.53,-0.50,0.94,116.19
imu_data,17139,7.93,-1.38,9.38,1.25,1.38,110.56
imu_data,17189,15.65,-0.36,9.33,-2.69,0.88,70.50
imu_data,17239,16.73,0.79,9.32,-1.31,-0.81,-18.31
imu_data,17290,7.55,0.04,9.43,0.44,-1.38,-72.00
imu_data,17341,1.90,-1.72,9.56,0.25,-1.31,-175.81
imu_data,17391,-9.05,-5.36,9.57,1.25,-2.25,-163.38
imu_data,17442,-20.66,-6.03,9.83,4.44,0.50,-77.44
imu_data,17493,-12.11,-3.83,9.73,1.38,1.50,57.38
imu_data,17543,-4.63,-1.05,9.55,-1.12,1.81,132.50
imu_data,17593,1.13,-1.30,9.49,-1.94,1.19,142.75
imu_data,17641,9.60,-1.83,9.43,0.12,2.00,148.69
imu_data,17689,14.15,-0.32,9.34,-4.69,0.88,85.75
imu_data,17739,12.19,-0.99,9.35,-3.31,-1.31,-26.75
imu_data,17789,5.70,-0.62,9.40,-1.38,-0.94,-130.00
imu_data,17839,-3.62,-4.20,9.66,0.38,-3.38,-208.00
imu_data,17890,-14.15,-5.28,9.68,0.19,-2.06,-149.88
imu_data,17941,-12.52,-5.54,9.79,0.81,0.94,-27.88
